DOI,Year,Journal,Membrane,MWCO,Membrane type,Solute,Solute W conc,Solute M conc,Solvent,Solvent Mw,Solvent diameter,Solvent viscosity,Solvent molar volume,Density,H1,H2,H3,H4,Livingston parameter,Pressure,Flux,Permeance,Rejection,Solvent Smile,Temperature,Process configuration,Solute smile
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,400.0,1,0.002500,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,20.0,,,94.30,CC(CC)=O,25,CF,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)CC(C)(C(OC)=O)C
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,400.0,1,0.002500,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,30.0,,,94.40,CC(CC)=O,25,CF,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)CC(C)(C(OC)=O)C
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,254.5,1,0.003929,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,20.0,,,94.90,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCCCC
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,900.0,1,0.001111,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,20.0,,,95.00,CC(CC)=O,25,CF,O=C(C(CC(CC(C(OC)=O)C)(C(OC)=O)C)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(C)C)C)C)C)C)C)C)OC
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,226.4,1,0.004417,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,30.0,,,95.40,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCC
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,300.0,1,0.003333,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,30.0,,,95.50,CC(CC)=O,25,CF,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)C
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,300.0,1,0.003333,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,20.0,,,95.70,CC(CC)=O,25,CF,O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)C
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,500.0,1,0.002000,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,30.0,,,96.20,CC(CC)=O,25,CF,O=C(C(CC(CC(C(OC)=O)C)(C(OC)=O)C)(CC(C(OC)=O)(CC(C(OC)=O)(C)C)C)C)OC
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,254.5,1,0.003929,MEK,75.1,0.667,0.43,93.3,0.805,16,9,5.1,19.05,47.02,40.0,,,96.30,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCCCC
10.1021/op400037h,2013,OPRD,DM300,300,,414.5,4.1,0.009891,THF,72.1,0.637,0.48,81.11,0.889,16.8,5.7,8,19.46,29.29,30.0,25.7,0.86,96.70,C1CCCO1,20,DE,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C
